result,kpm,dpm,apm,dmgpm,wpm,earnedgpm,cspm,visiblewardclearrate,invisiblewardclearrate,goldat10,goldat15,csat10,csat15,xpat10,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,teambaronkills,teamtowerkills,side,herald,fd,fb,ft,firstmidouter,firsttothreetowers
0,0.38939967550027044,0.35694970254191455,0.8436992969172525,2026.1114115738237,2.6608977825851814,1100.449972958356,32.80692266089778,0.5625,0.3157894736842105,15304.0,23790.0,334.0,554.0,18459.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1,1.0,0,0,0.0,1.0,1.0
1,0.35694970254191455,0.38939967550027044,0.7463493780421849,2424.0454299621415,2.888047593293672,1203.1541373715525,32.96917252568956,0.53125,0.38,16764.0,25837.0,350.0,562.0,19689.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0,0.0,1,1,1.0,0.0,0.0
1,0.41921397379912667,0.1572052401746725,1.1266375545851528,1667.7117903930132,3.8253275109170306,1228.6637554585152,32.35807860262009,0.6379310344827587,0.36619718309859156,14971.0,22785.0,302.0,476.0,17729.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,1,0.0,0,1,0.0,0.0,0.0
0,0.1572052401746725,0.41921397379912667,0.41921397379912667,1726.2969432314412,3.3799126637554586,946.0873362445416,31.755458515283845,0.5421686746987951,0.36507936507936506,15578.0,24097.0,292.0,489.0,18782.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0,1.0,1,0,1.0,1.0,1.0
0,0.2531645569620253,0.37974683544303794,0.5063291139240506,1425.4113924050632,3.3227848101265822,1075.9430379746834,32.563291139240505,0.7391304347826086,0.22727272727272727,15724.0,24987.0,326.0,530.0,19198.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1,1.0,0,0,0.0,1.0,0.0
1,0.37974683544303794,0.2531645569620253,0.8227848101265822,1785.6012658227846,3.5443037974683542,1193.4113924050632,32.18354430379747,0.4666666666666667,0.31666666666666665,16456.0,25055.0,332.0,529.0,19628.0,0.0,1.0,1.0,1.0,0.0,1.0,7.0,0,0.0,1,1,1.0,0.0,1.0
0,0.12219959266802444,0.48879837067209775,0.24439918533604887,1074.2973523421588,3.29938900203666,801.5641547861507,29.85743380855397,0.3333333333333333,0.06818181818181818,14843.0,22538.0,329.0,497.0,18476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0.0,0.0,0.0
1,0.48879837067209775,0.12219959266802444,1.2219959266802443,1825.091649694501,3.2586558044806515,1368.122199592668,32.91242362525458,0.6538461538461539,0.2222222222222222,15992.0,25591.0,316.0,490.0,18799.0,3.0,0.0,1.0,0.0,0.0,1.0,10.0,0,1.0,1,1,1.0,1.0,1.0
0,0.1835985312117503,0.6976744186046512,0.22031823745410037,1216.9277845777233,3.268053855569155,906.4700122399021,28.971848225214195,0.325,0.1568627450980392,15801.0,24156.0,344.0,524.0,19635.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,1.0,0,1,0.0,0.0,0.0
1,0.6976744186046512,0.1835985312117503,1.835985312117503,2296.0832313341493,3.3414932680538554,1328.7099143206856,32.937576499388,0.7272727272727273,0.35555555555555557,15690.0,24339.0,339.0,537.0,19598.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0,0.0,1,0,1.0,1.0,1.0
1,0.9116022099447514,0.20718232044198895,1.408839779005525,2354.4198895027625,3.4806629834254146,1525.1270718232042,35.67679558011049,0.8,0.15555555555555556,17596.0,29121.0,356.0,559.0,21258.0,0.0,2.0,0.0,1.0,0.0,1.0,9.0,1,0.0,1,1,1.0,1.0,1.0
0,0.20718232044198895,0.9116022099447514,0.3314917127071823,1549.0193370165746,2.6933701657458564,864.6712707182319,28.71546961325967,0.36363636363636365,0.1568627450980392,15190.0,23951.0,307.0,483.0,18765.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0
1,0.4358353510895884,0.1089588377723971,1.0532687651331718,1685.8111380145278,3.3050847457627115,1239.464891041162,34.83050847457627,0.6206896551724138,0.32727272727272727,14836.0,25096.0,317.0,480.0,18945.0,1.0,1.0,0.0,2.0,0.0,1.0,8.0,1,0.0,1,0,1.0,1.0,1.0
0,0.1089588377723971,0.4358353510895884,0.32687651331719125,1347.7481840193705,3.2324455205811136,941.7530266343824,33.5230024213075,0.40540540540540543,0.14814814814814814,15973.0,24069.0,354.0,505.0,18814.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0,1,0.0,0.0,0.0
0,0.21951219512195122,0.2682926829268293,0.3902439024390244,1147.6097560975609,3.5609756097560976,1034.3658536585365,32.853658536585364,0.6153846153846154,0.34523809523809523,16862.0,26132.0,319.0,503.0,19416.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,1,0.0,0,1,1.0,1.0,1.0
